name,protocol,ports,description,comments
Microsoft-DS,tcp,"445,135",,
NetBIOS Name Service (tcp),tcp,137,,
NetBIOS Name Service (udp),udp,137,,
NetBIOS Datagram Service,udp,138,,
NetBIOS Session Service,tcp,139,,
DNS (over TLS),tcp,853,,
DNS,udp,53,,
DNS (tcp),tcp,53,,
FTP-Data,tcp,20,,
FTP-Control,tcp,21,,
SSH,tcp,22,Secure Shell,
Telnet,tcp,23,Telnet,
SMTP,tcp,25,Simple Mail Transfer Protocol,
Whois,tcp,43,Whois,
TACACS,tcp,49,TACACS,
TACACS (udp),udp,49,TACACS,
DHCPv4,udp,"67,68",DHCP and BOOTP,
TFTP,udp,69,,
HTTP,tcp,80,,
HTTPS,tcp,443,,
Kerberos,udp,88,,
POP3,tcp,110,,
NTP,udp,123,Network Time Protocol,
IMAP,tcp,143,,
SNMP,udp,161,,
SNMP Trap,udp,162,,
BGP,tcp,179,Border Gateway Protocol,
LDAP,tcp,389,,
LDAP Secure,tcp,636,,
Syslog,udp,514,,
DHCPv6 server,udp,"546,547",DHCPv6,DHCPv6
IPP,tcp,631,Internet Printing Protocol,
CUPS,tcp,631,,
LDP (MPLS),tcp,646,,
VMware ESXi,tcp,902,,
BIND (RNDC),tcp,953,Remote name daemon control (RNDC),
FTPs (over TLS),tcp,"989,99",,
FTPs (over TLS) control,udp,990,,
OpenVPN,udp,1194,,
MySQL,tcp,3306,,
Microsoft RDP,tcp,3389,Remote Desktop Service,
SIP,udp,5060,,
SIP (over TLS),udp,5061,,
Multicast DNS,udp,5353,,
PostgreSQL,tcp,5432,,
Winbox,tcp,8291,MikroTik Winbox,
API-RouterOS,tcp,8728,,
API-RouterOS SSL,tcp,8729,,
